object_name,address,Информация о публикации,Цена,Объявление от,Тип аренды,Тип квартиры,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Тип,Этаж,Этажность дома,url,Топ
"ЖК ""Апельсин""ДОМ СДАН,большой выбор квартир,Потресающий вид на мор мор","Одесса, Одесская область, Приморский","Добавлено: в 00:10, 28 февраля 2017,",39 999 $,Бизнес,,Новостройки,1,42 м2,21 м2,12 м2,Монолитный,16,24,https://www.olx.ua/obyavlenie/zhk-apelsin-dom-sdan-bolshoy-vybor-kvartir-potresayuschiy-vid-na-mor-mor-IDqKhbY.html
Хочешь квартиру с видом на море 22.5тыс $,"Одесса, Одесская область, Суворовский","Опубликовано с мобильного в 00:08, 28 февраля 2017,","22 500 $
Договорная",Бизнес,,Новостройки,2,60 м2,,15 м2,,7,24,https://www.olx.ua/obyavlenie/hochesh-kvartiru-s-vidom-na-more-22-5tys-IDqKh6v.html
"1к.Французский бульвар,новый дом","Одесса, Одесская область, Приморский","Опубликовано с мобильного в 00:04, 28 февраля 2017,",67 000 $,Бизнес,,Новостройки,1,63 м2,,,Монолитный,9,21,https://www.olx.ua/obyavlenie/1k-frantsuzskiy-bulvar-novyy-dom-IDnDL7v.html
2к.. Альтаир.Люстдорфская дор.Таирово-Черёмушки,"Одесса, Одесская область, Малиновский","Опубликовано с мобильного в 00:02, 28 февраля 2017,",77 000 $,Бизнес,,Вторичный рынок,2,73 м2,45 м2,15 м2,,16,21,https://www.olx.ua/obyavlenie/2k-altair-lyustdorfskaya-dor-tairovo-cheremushki-IDozAZS.html
Однокомнатная квартира Паустовского 40 метров,"Одесса, Одесская область, Суворовский","Добавлено: в 00:02, 28 февраля 2017,",13 000 $,Бизнес,,Вторичный рынок,1,40 м2,20 м2,18 м2,,1,,https://www.olx.ua/obyavlenie/odnokomnatnaya-kvartira-paustovskogo-40-metrov-IDqKgTV.html
Двушка продается в 30 жемчужине. Сахарова. Цена.,"Одесса, Одесская область, Суворовский","Добавлено: в 00:00, 28 февраля 2017,",34 600 $,Бизнес,,Новостройки,2,63 м2,32 м2,13 м2,,8,25,https://www.olx.ua/obyavlenie/dvushka-prodaetsya-v-30-zhemchuzhine-saharova-tsena-IDq4U6q.html
Продам 1 ком. квартиру ул. Черноморского Казачества,"Одесса, Одесская область, Приморский","Добавлено: в 00:00, 28 февраля 2017,",16 000 $,Бизнес,,Вторичный рынок,1,30 м2,20 м2,9 м2,,2,2,https://www.olx.ua/obyavlenie/prodam-1-kom-kvartiru-ul-chernomorskogo-kazachestva-IDqf1yg.html
"""СТОЯНОЧКА!!! Квартира для Вашей семьи""","Одесса, Одесская область, Суворовский","Добавлено: в 23:59, 27 февраля 2017,",35 000 $,Бизнес,,Новостройки,3,98 м2,64 м2,14 м2,Монолитный,10,25,https://www.olx.ua/obyavlenie/stoyanochka-kvartira-dlya-vashey-semi-IDqKgIV.html
"Продам, 2-х комн. квартиру (Вымпел)","Одесса, Одесская область, Приморский","Добавлено: в 23:58, 27 февраля 2017,",43 500 $,Бизнес,,Вторичный рынок,2,50 м2,30 м2,8 м2,Кирпичный,6,9,https://www.olx.ua/obyavlenie/prodam-2-h-komn-kvartiru-vympel-IDqKgFU.html
Своя 3-комн. Королева/рынок Южный,"Одесса, Одесская область, Киевский","Добавлено: в 23:51, 27 февраля 2017,",58 000 $,Частного лица,,Вторичный рынок,3,63 м2,43 м2,10 м2,Панельный,4,9,https://www.olx.ua/obyavlenie/svoya-3-komn-koroleva-rynok-yuzhnyy-IDntp9M.html
"1к. Новый дом, Вузовский, СК ""Будова""","Одесса, Одесская область, Киевский","Добавлено: в 23:48, 27 февраля 2017,",37 000 $,Бизнес,,Новостройки,1,46 м2,,,Монолитный,12,23,https://www.olx.ua/obyavlenie/1k-novyy-dom-vuzovskiy-sk-budova-IDiyOoq.html
"Двушка в Михайловском городке. Купи сегодня, завтра точно дороже.","Одесса, Одесская область, Малиновский","Добавлено: в 23:45, 27 февраля 2017,",34 500 $,Бизнес,,Новостройки,2,55 м2,31 м2,11 м2,,19,20,https://www.olx.ua/obyavlenie/dvushka-v-mihaylovskom-gorodke-kupi-segodnya-zavtra-tochno-dorozhe-IDq4SXO.html
Московка Гайдара 2-х комнатная,"Одесса, Одесская область, Малиновский","Добавлено: в 23:45, 27 февраля 2017,",30 000 $,Бизнес,,Вторичный рынок,2,45 м2,20 м2,7 м2,,3,5,https://www.olx.ua/obyavlenie/moskovka-gaydara-2-h-komnatnaya-IDqpfYq.html
Однушка в Апельсине. Дом сдан. Вид на фонтан.,"Одесса, Одесская область, Приморский","Добавлено: в 23:45, 27 февраля 2017,",42 000 $,Бизнес,,Новостройки,1,44 м2,17 м2,11 м2,,21,24,https://www.olx.ua/obyavlenie/odnushka-v-apelsine-dom-sdan-vid-na-fontan-IDq4Sm8.html
Кварира маршала жукова,"Одесса, Одесская область, Киевский","Опубликовано с мобильного в 23:42, 27 февраля 2017,",45 000 $,Частного лица,,Вторичный рынок,2,53 м2,30 м2,8 м2,Панельный,9,10,https://www.olx.ua/obyavlenie/kvarira-marshala-zhukova-IDqKfTM.html
Продам отличную 2к квартиру в новострое с новым евроремонтом,"Одесса, Одесская область, Киевский","Добавлено: в 23:31, 27 февраля 2017,","65 000 $
Договорная",Бизнес,,Новостройки,2,52 м2,0,0,,5,16,https://www.olx.ua/obyavlenie/prodam-otlichnuyu-2k-kvartiru-v-novostroe-s-novym-evroremontom-IDqKfiG.html
В продаже 2-комнатная квартира Михаловски городок. Будова.,"Одесса, Одесская область, Малиновский","Добавлено: в 23:30, 27 февраля 2017,",38 800 $,Бизнес,,Новостройки,2,58 м2,33 м2,10 м2,,11,18,https://www.olx.ua/obyavlenie/v-prodazhe-2-komnatnaya-kvartira-mihalovski-gorodok-budova-IDq4QZE.html
СРОЧНО! Продам 1 комн. квартиру / Садиковская / Центр,"Одесса, Одесская область, Приморский","Добавлено: в 23:30, 27 февраля 2017,",24 000 $,Бизнес,,Вторичный рынок,1,37 м2,,,Кирпичный,3,4,https://www.olx.ua/obyavlenie/srochno-prodam-1-komn-kvartiru-sadikovskaya-tsentr-IDqKfbS.html
СРОЧНО! Продаётся 1 комн. квартира на Малиновского!,"Одесса, Одесская область, Малиновский","Добавлено: в 23:22, 27 февраля 2017,",42 000 $,Бизнес,,Вторичный рынок,1,39 м2,,11 м2,,5,,https://www.olx.ua/obyavlenie/srochno-prodaetsya-1-komn-kvartira-na-malinovskogo-IDqKeJO.html
Уютная с ремонтом квартира в киевском район.,"Одесса, Одесская область, Киевский","Добавлено: в 23:20, 27 февраля 2017,",53 000 $,Бизнес,,Вторичный рынок,3,65 м2,38 м2,10 м2,Панельный,7,9,https://www.olx.ua/obyavlenie/uyutnaya-s-remontom-kvartira-v-kievskom-rayon-IDqKeBv.html
Продам 2-х ком.квартиру!,"Одесса, Одесская область, Киевский","Добавлено: в 23:20, 27 февраля 2017,","43 000 $
Договорная",Частного лица,,Вторичный рынок,2,50 м2,47 м2,7 м2,Кирпичный,5,5,https://www.olx.ua/obyavlenie/prodam-2-h-kom-kvartiru-IDpC4tg.html
Продам 3-х комнатную квартиру на Таирова. Новострой. Красный кирпич.,"Одесса, Одесская область, Киевский","Добавлено: в 23:09, 27 февраля 2017,",75 000 $,Частного лица,,Новостройки,3,103 м2,62 м2,10 м2,,3,11,https://www.olx.ua/obyavlenie/prodam-3-h-komnatnuyu-kvartiru-na-tairova-novostroy-krasnyy-kirpich-IDiJwLM.html
Продам отличную 3х комнатную квартиру в Центре города,"Одесса, Одесская область, Приморский","Добавлено: в 23:06, 27 февраля 2017,","55 000 $
Договорная",Бизнес,,Вторичный рынок,3,72 м2,0,0,,3,4,https://www.olx.ua/obyavlenie/prodam-otlichnuyu-3h-komnatnuyu-kvartiru-v-tsentre-goroda-IDqKdJU.html
"Ликвидная 3 ком. кв.на ул.Ак.Вильямса/Южный , с мебелью.","Одесса, Одесская область, Киевский","Добавлено: в 23:04, 27 февраля 2017,",46 000 $,Частного лица,,Вторичный рынок,3,65 м2,38 м2,10 м2,Панельный,4,9,https://www.olx.ua/obyavlenie/likvidnaya-3-kom-kv-na-ul-ak-vilyamsa-yuzhnyy-s-mebelyu-IDqKdu8.html
2-ком квартира в Светлом переулке в доме 11,"Одесса, Одесская область, Приморский","Опубликовано с мобильного в 23:03, 27 февраля 2017,",20 000 $,Частного лица,,Вторичный рынок,1,,,,,12,,https://www.olx.ua/obyavlenie/2-kom-kvartira-v-svetlom-pereulke-v-dome-11-IDqKdr0.html
СРОЧНО!!! Продам 1 комн. кв. в НОВОМ доме! ДОМ СДАН! Цена - 12 тыс.,"Одесса, Одесская область, Суворовский","Добавлено: в 23:03, 27 февраля 2017,","12 000 $
Договорная",Бизнес,,Новостройки,1,20 м2,20 м2,7 м2,,1,10,https://www.olx.ua/obyavlenie/srochno-prodam-1-komn-kv-v-novom-dome-dom-sdan-tsena-12-tys-IDqKdok.html
Пятикомнатная на Александровском проспекте,"Одесса, Одесская область, Приморский","Добавлено: в 23:02, 27 февраля 2017,","130 000 $
Договорная",Бизнес,,Вторичный рынок,5,150 м2,,,Кирпичный,3,3,https://www.olx.ua/obyavlenie/pyatikomnatnaya-na-aleksandrovskom-prospekte-IDpXE5Q.html
Продам уютную однокомнатную квартиру на Космонавтов,"Одесса, Одесская область, Малиновский","Добавлено: в 23:00, 27 февраля 2017,",32 000 $,Бизнес,,Вторичный рынок,1,3 м2,18 м2,6 м2,,3,5,https://www.olx.ua/obyavlenie/prodam-uyutnuyu-odnokomnatnuyu-kvartiru-na-kosmonavtov-IDqpdQa.html
1-ком в Светлом переулке дом 11,"Одесса, Одесская область, Приморский","Опубликовано с мобильного в 22:58, 27 февраля 2017,",15 000 $,Частного лица,,Вторичный рынок,1,,,,,5,,https://www.olx.ua/obyavlenie/1-kom-v-svetlom-pereulke-dom-11-IDqKcZC.html
1-ком в Светлом переулке дом 11,"Одесса, Одесская область, Приморский","Опубликовано с мобильного в 22:57, 27 февраля 2017,",15 000 $,Частного лица,,Вторичный рынок,1,,,,,5,,https://www.olx.ua/obyavlenie/1-kom-v-svetlom-pereulke-dom-11-IDqKcZu.html
1-ком в Светлом переулке дом 11,"Одесса, Одесская область, Приморский","Опубликовано с мобильного в 22:57, 27 февраля 2017,",15 000 $,Частного лица,,Вторичный рынок,1,,,,,5,,https://www.olx.ua/obyavlenie/1-kom-v-svetlom-pereulke-dom-11-IDqKcZc.html
1-ком в Светлом переулке дом 11,"Одесса, Одесская область, Приморский","Опубликовано с мобильного в 22:57, 27 февраля 2017,",15 000 $,Частного лица,,Вторичный рынок,1,,,,,5,,https://www.olx.ua/obyavlenie/1-kom-v-svetlom-pereulke-dom-11-IDqKcYM.html
Реальная квартира в новом доме на пло..,"Одесса, Одесская область, Приморский","Добавлено: в 22:53, 27 февраля 2017,",33 700 $,Бизнес,,Новостройки,2,46 м2,26 м2,8 м2,Монолитный,5,22,https://www.olx.ua/obyavlenie/realnaya-kvartira-v-novom-dome-na-plo-IDq1O3G.html
2-комн. Радужный. 64/30/17 м. с красивым дорогим евроремонтом.,"Одесса, Одесская область, Киевский","Добавлено: в 22:53, 27 февраля 2017,",57 000 $,Бизнес,,Вторичный рынок,2,64 м2,30 м2,17 м2,,9,16,https://www.olx.ua/obyavlenie/2-komn-raduzhnyy-64-30-17-m-s-krasivym-dorogim-evroremontom-IDqKcBc.html
"Продаю СРОЧНО 1к квартиру в ""26 Жемчужине"" 43 000 у.е.","Одесса, Одесская область, Приморский","Добавлено: в 22:49, 27 февраля 2017,",43 000 $,Бизнес,,Новостройки,1,37 м2,,,Монолитный,13,24,https://www.olx.ua/obyavlenie/prodayu-srochno-1k-kvartiru-v-26-zhemchuzhine-43-000-u-e-IDqKcmo.html
!!Срочно!! Продам квартиру!!!43 м2. Торг!!,"Одесса, Одесская область, Киевский","Добавлено: в 22:49, 27 февраля 2017,","43 000 $
Договорная",Частного лица,,Вторичный рынок,1,43 м2,20 м2,10 м2,,16,16,https://www.olx.ua/obyavlenie/srochno-prodam-kvartiru-43-m2-torg-IDqKcl8.html
Продам Свою Квартиру на Французском бульваре,"Одесса, Одесская область, Приморский","Добавлено: в 22:48, 27 февраля 2017,",75 000 $,Частного лица,,Новостройки,1,56 м2,,,Кирпичный,3,14,https://www.olx.ua/obyavlenie/prodam-svoyu-kvartiru-na-frantsuzskom-bulvare-IDn8Bga.html
"Просторная, с удачной планировкой 1- комнатная квартира !","Одесса, Одесская область, Киевский","Добавлено: в 22:46, 27 февраля 2017,",36 000 $,Бизнес,,Вторичный рынок,1,40 м2,16 м2,11 м2,,1,13,https://www.olx.ua/obyavlenie/prostornaya-s-udachnoy-planirovkoy-1-komnatnaya-kvartira-IDpIXtm.html
Продам 3 комнатную квартру проспект Ак.Глушко/ пл.Деревянко,"Одесса, Одесская область, Киевский","Добавлено: в 22:44, 27 февраля 2017,",80 000 $,Бизнес,,Вторичный рынок,3,75 м2,,,Кирпичный,7,10,https://www.olx.ua/obyavlenie/prodam-3-komnatnuyu-kvartru-prospekt-ak-glushko-pl-derevyanko-IDhfMpg.html
